,time,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,ControlItem,Sex,Age
10,2025/04/17 7:51:27 PM GMT+2,4,4,3,2,2,3,2,4,4,2,3,3,3,2,3,3,1,3,5,1,3,4,1,3,2,4,3,4,4,4,2,1,2,4,3,2,3,3,4,Snapchat;Instagram,3,6,Kvinna,21
11,2025/04/21 8:12:14 PM GMT+2,4,2,2,4,2,2,2,4,5,2,5,5,1,2,1,2,1,5,3,2,2,2,2,1,1,4,1,5,4,1,4,1,4,5,1,1,1,2,1,Snapchat;Instagram,2,7,Man,21
12,2025/04/22 10:21:31 AM GMT+2,4,2,3,3,4,3,4,2,5,1,2,4,4,3,4,4,2,4,3,1,3,2,2,2,2,2,2,4,4,2,4,2,4,4,3,1,2,2,2,Facebook,2,8,Man,65
13,2025/04/22 11:01:49 AM GMT+2,5,1,2,2,3,2,2,4,2,1,4,2,1,2,1,1,1,5,3,1,1,1,2,4,3,1,1,3,4,3,1,1,5,5,3,1,1,1,5,Instagram,1,8,Man,28
14,2025/04/22 12:50:46 PM GMT+2,5,3,1,5,5,1,1,1,5,1,4,2,1,2,5,2,1,5,5,2,1,1,3,5,5,3,4,2,1,1,1,1,3,4,1,1,1,3,3,Facebook,1,7,Kvinna,42
15,2025/04/22 5:57:20 PM GMT+2,5,4,4,4,5,3,4,2,5,2,2,2,4,2,3,4,3,3,4,1,1,3,3,5,5,4,4,3,3,1,1,3,4,5,3,1,1,2,4,Facebook,1,7,Man,66
16,2025/04/23 9:51:21 PM GMT+2,5,1,1,4,4,1,2,2,5,5,2,3,1,2,5,1,1,5,2,2,4,1,1,1,1,1,1,5,2,5,1,4,5,4,1,1,1,1,1,Instagram,2,9,Kvinna,25
17,2025/04/23 9:56:58 PM GMT+2,5,1,4,5,2,2,4,5,4,2,5,4,2,1,2,5,4,2,5,1,5,5,2,2,1,5,5,4,5,5,4,2,1,5,5,2,2,2,4,Instagram,4,7,Kvinna,25
18,2025/04/23 10:00:32 PM GMT+2,4,3,3,4,4,4,3,3,4,2,4,3,5,3,3,4,3,5,2,5,4,3,3,4,4,4,3,5,3,2,2,1,5,5,5,4,4,4,5,Instagram,1,10,Kvinna,24
19,2025/04/24 8:29:14 AM GMT+2,3,1,4,1,3,3,4,5,1,1,5,2,4,3,2,3,4,2,1,1,4,5,2,4,1,4,1,5,3,5,2,3,1,5,3,4,5,4,5,Instagram;Tiktok,4,4,Kvinna,27
20,2025/04/24 9:34:04 AM GMT+2,5,2,2,5,3,2,2,5,5,1,4,3,1,2,4,4,4,4,4,3,4,2,2,3,2,4,2,4,4,4,1,2,4,4,3,2,3,2,3,Snapchat;Instagram,3,5,Kvinna,20
21,2025/04/24 1:31:35 PM GMT+2,5,3,4,2,4,2,1,1,5,2,3,1,3,2,2,2,2,3,1,3,1,3,3,3,1,2,1,4,3,4,2,3,4,4,3,2,1,2,1,Snapchat;Instagram;Tiktok,3,5,Man,21
22,2025/04/24 1:36:40 PM GMT+2,4,1,3,5,5,1,2,3,5,1,4,2,5,2,5,4,1,3,5,1,4,4,2,5,4,5,5,3,4,4,2,1,4,4,2,3,2,3,4,Instagram,1,8,Man,20
23,2025/04/24 6:38:56 PM GMT+2,4,3,1,3,5,2,3,3,5,2,2,1,3,2,1,3,1,5,3,3,1,1,1,3,3,3,1,1,3,5,2,1,4,5,1,3,3,4,3,Instagram,1,8,Man,60
24,2025/04/24 6:39:52 PM GMT+2,5,1,2,2,2,3,2,4,4,2,4,2,1,1,3,3,2,2,4,3,2,2,2,3,2,2,2,4,2,4,2,1,3,5,2,2,2,2,4,Tiktok,3,7,Kvinna,19
25,2025/04/24 7:07:55 PM GMT+2,5,3,3,4,2,3,2,2,4,1,3,1,3,1,4,1,1,3,4,3,3,1,2,3,1,1,1,3,3,4,1,1,2,3,5,2,3,3,4,Instagram;Facebook,4,6,Kvinna,31
26,2025/04/24 7:10:27 PM GMT+2,5,3,4,1,1,3,2,5,5,1,3,3,4,3,4,4,1,1,4,3,5,4,3,5,1,3,5,3,4,5,2,1,1,4,5,1,4,3,3,Snapchat;Instagram;Tiktok,5,5,Kvinna,19
27,2025/04/24 7:32:10 PM GMT+2,5,1,4,5,5,2,1,4,5,1,4,3,1,2,1,2,1,4,4,1,1,4,2,2,5,2,3,2,1,5,1,1,3,5,1,1,1,1,3,Tiktok,1,8,Kvinna,19
